time;global radiation;Temperature in greenhouse;relative humidity;irrigation;irrigation time;rain water;drain
;(W/m2);(oC);(%);(liters/ compartment);minutes;(liters/ compartment);(liters entire compatiment)
30/05/2016 00:00;0;19.4;91.4;0;22;0;0
30/05/2016 00:05;1;19.4;90.8;0;22;0;0
30/05/2016 00:10;0;19.3;91.3;0;22;0;0
30/05/2016 00:15;0;19.5;91;0;22;0;0
30/05/2016 00:20;0;19.5;91;0;22;0;0
30/05/2016 00:25;2;19.4;91.4;0;22;0;0
30/05/2016 00:30;1;19.4;91.7;0;22;0;0
30/05/2016 00:35;0;19.4;91.9;0;22;0;0
30/05/2016 00:40;0;19.4;91.9;0;22;0;0
30/05/2016 00:45;1;19.4;92;0;22;0;0
30/05/2016 00:50;0;19.4;92.3;0;22;0;0
30/05/2016 00:55;1;19.4;92;0;22;0;0
30/05/2016 01:00;0;19.3;92.3;0;22;0;0
30/05/2016 01:05;0;19.3;92.3;0;22;0;0
30/05/2016 01:10;1;19.2;92.5;0;22;0;0
30/05/2016 01:15;2;19.3;92.3;0;22;0;0
30/05/2016 01:20;2;19.1;92;0;22;0;0
30/05/2016 01:25;0;19.1;92.3;0;22;0;0
30/05/2016 01:30;0;19.1;92.2;0;22;0;0
30/05/2016 01:35;0;19.2;92.1;0;22;0;0
30/05/2016 01:40;1;19.2;92.1;0;22;0;0
30/05/2016 01:45;2;19.1;92.2;0;22;0;0
30/05/2016 01:50;1;19;92.5;0;22;0;0
30/05/2016 01:55;1;19;92.7;0;22;0;0
30/05/2016 02:00;1;19.2;92.7;0;22;0;0
30/05/2016 02:05;1;19.1;93;0;22;0;0
30/05/2016 02:10;1;19.1;93.2;0;22;0;0
30/05/2016 02:15;1;19.1;93.4;0;22;0;0
30/05/2016 02:20;2;19.1;93.4;0;22;0;0
30/05/2016 02:25;0;19.1;93.6;0;22;0;0
30/05/2016 02:30;2;19.1;93.7;0;22;0;0
30/05/2016 02:35;1;19.3;93.6;0;22;0;0
30/05/2016 02:40;2;20;90.4;0;22;0;0
30/05/2016 02:45;1;20.5;87.9;0;22;0;0
30/05/2016 02:50;3;20.8;86.3;0;22;0;0
30/05/2016 02:55;1;20.9;85.8;0;22;0;0
30/05/2016 03:00;2;20.7;86.3;0;22;0;0
30/05/2016 03:05;2;20.9;85.8;0;22;0;0
30/05/2016 03:10;1;20.6;86.2;0;22;0;0
30/05/2016 03:15;2;20.6;86.6;0;22;0;0
30/05/2016 03:20;0;20.5;86.8;0;22;0;0
30/05/2016 03:25;2;20.6;86.6;0;22;0;0
30/05/2016 03:30;2;20.4;86.5;0;22;0;0
30/05/2016 03:35;1;20.5;86.2;0;22;0;0
30/05/2016 03:40;0;20.3;87.3;0;22;0;0
30/05/2016 03:45;0;20.2;87.4;0;22;0;0
30/05/2016 03:50;1;20.2;87.6;0;22;0;0
30/05/2016 03:55;0;20.4;86.5;0;22;0;0
30/05/2016 04:00;1;20.2;87.4;0;22;0;0
30/05/2016 04:05;1;20.2;87.9;0;22;0;0
30/05/2016 04:10;0;20.1;88.3;0;22;0;0
30/05/2016 04:15;1;20.1;88;0;22;0;0
30/05/2016 04:20;1;20.3;87.3;0;22;0;0
30/05/2016 04:25;0;20.2;87.6;0;22;0;0
30/05/2016 04:30;0;20.3;87.2;0;22;0;0
30/05/2016 04:35;2;20.3;87;0;22;0;0
30/05/2016 04:40;2;20.3;87;0;22;0;0
30/05/2016 04:45;1;20.5;86.8;0;22;0;0
30/05/2016 04:50;1;20.4;87.2;0;22;0;0
30/05/2016 04:55;0;20.6;87.1;0;22;0;0
30/05/2016 05:00;0;20.5;87.4;0;21.999.998;0;0
30/05/2016 05:05;0;20.5;87.5;0;0.000003;0;0
30/05/2016 05:10;0;20.6;87.5;0;0;0;0
30/05/2016 05:15;0;20.6;88;0;0;0;0
30/05/2016 05:20;2;20.6;88.1;0;0;0;0
30/05/2016 05:25;0;20.7;88.7;0;0;0;0
30/05/2016 05:30;2;20.7;88.6;0;0;0;0
30/05/2016 05:35;3;20.8;88.9;0;0;0;0
30/05/2016 05:40;2;20.7;88.9;0;0;0;0
30/05/2016 05:45;3;20.8;89.1;0;0;0;0
30/05/2016 05:50;4;20.8;89;0;0;0;0
30/05/2016 05:55;4;20.8;88.6;0;0;0;0
30/05/2016 06:00;5;20.8;89.2;0;0;0;0
30/05/2016 06:05;5;20.8;89.1;0;0;0;0
30/05/2016 06:10;8;20.9;89.2;0;0;0;0
30/05/2016 06:15;8;20.9;89.4;0;0;0;0
30/05/2016 06:20;8;21;89.3;0;0;0;0
30/05/2016 06:25;8;21;89.5;0;0;0;0
30/05/2016 06:30;9;21;89.4;0;0;0;0
30/05/2016 06:35;12;20.8;90.1;0;0;0;0
30/05/2016 06:40;15;20.8;90.2;0;0;0;0
30/05/2016 06:45;14;20.8;90.2;0;0;0;0
30/05/2016 06:50;12;20.8;90.4;0;0;0;0
30/05/2016 06:55;12;20.9;90.3;0;0;0;0
30/05/2016 07:00;14;20.9;90.2;0;0;0;0
30/05/2016 07:05;17;20.8;90.1;0;0;0;0
30/05/2016 07:10;19;20.8;90.4;0;0;0;0
30/05/2016 07:15;21;21;90.2;0;0;0;0
30/05/2016 07:20;20;20.9;90.4;0;0;0;0
30/05/2016 07:25;18;20.9;90.7;0;0;0;0
30/05/2016 07:30;20;20.9;91;0;0;0;0
30/05/2016 07:35;20;20.8;90.6;0;0;0;0
30/05/2016 07:40;26;20.8;90.8;0;0;0;0
30/05/2016 07:45;26;20.8;90.4;0;0;0;0
30/05/2016 07:50;33;20.8;90.2;0;0;0;0
30/05/2016 07:55;35;21;90.6;0;0;0;0
30/05/2016 08:00;39;21;90.9;0;0;0;0
30/05/2016 08:05;37;21;90.7;0;0;0;0
30/05/2016 08:10;48;21.1;91.5;0;0;0;0
30/05/2016 08:15;50;21.1;91.7;0;0;0;0
30/05/2016 08:20;53;21.2;91;0;0;0;0
30/05/2016 08:25;54;21.3;91.8;0;0;0;0
30/05/2016 08:30;54;21.4;91.7;0;0;0;0
30/05/2016 08:35;67;21.5;91.3;0;0;0;0
30/05/2016 08:40;58;21.6;91.7;0;0;0;0
30/05/2016 08:45;62;21.6;91.9;31;2;0;0
30/05/2016 08:50;67;21.7;92;31;2;0;0
30/05/2016 08:55;84;21.9;92.1;31;2;0;0
30/05/2016 09:00;75;22;92;31;2;0;0
30/05/2016 09:05;58;22;92.4;31;2;0;0
30/05/2016 09:10;50;21.9;92.5;31;2;0;0
30/05/2016 09:15;46;21.9;92.9;31;2;0;0
30/05/2016 09:20;64;22;93.1;31;2;0;0
30/05/2016 09:25;59;22;92.7;31;2;0;0
30/05/2016 09:30;67;22.1;93.2;31;2;0;0
30/05/2016 09:35;63;22.1;93.1;31;2;0;0
30/05/2016 09:40;58;22.1;92.7;31;2;0;0
30/05/2016 09:45;57;22.1;93.1;31;2;0;0
30/05/2016 09:50;67;22.1;93.2;31;2;0;0
30/05/2016 09:55;60;22.1;93;31;2;0;0
30/05/2016 10:00;63;22.2;92.5;69;4;35;0
30/05/2016 10:05;64;22.2;92.6;69;4;35;9
